GOOG option chain data from  05/08/15 at 03:36 PM EST
Strike,Ask,Last,Mark Chg,Bid Size,Ask Size,Delta,Imp Vol,Imp Vol Chg,Open Interest,Volume,Bid
May15 CALLS (8 days)
300,241.40,0.00,+8.40,2,5,1.0000,0.00%,-147.25%,0,0,237.10
320,221.40,0.00,+8.60,10,10,1.0000,0.00%,-140.03%,0,0,217.70
340,201.10,0.00,+8.60,10,10,1.0000,0.00%,-112.19%,0,0,197.70
360,181.10,0.00,+8.50,10,10,1.0000,0.00%,-107.17%,0,0,177.70
380,161.10,0.00,+8.55,10,10,0.9980,87.25%,-6.41%,0,0,157.80
400,141.30,0.00,+8.60,10,10,1.0000,0.00%,-80.70%,0,0,137.70
420,121.40,0.00,+8.70,10,5,0.9973,64.13%,-4.09%,0,0,117.80
440,101.40,0.00,+8.55,10,5,1.0000,0.00%,-59.49%,0,0,97.70
450,91.30,79.50,+8.50,16,1,1.0000,0.00%,-53.29%,1,0,87.70
452.5,88.80,77.00,+8.45,16,2,0.9930,50.88%,-2.14%,2,0,85.20
455,86.40,0.00,+8.55,10,10,0.9898,52.27%, 2.06%,0,0,82.70
457.5,83.90,0.00,+8.55,10,10,1.0000,0.00%,-48.67%,0,0,80.20
460,81.40,101.68,+8.55,15,11,1.0000,0.00%,-47.14%,0,0,77.70
462.5,78.90,0.00,+8.55,15,11,1.0000,0.00%,-45.61%,0,0,75.20
465,76.40,0.00,+8.60,15,15,1.0000,0.00%,-42.84%,0,0,72.70
467.5,73.90,0.00,+8.55,15,11,1.0000,0.00%,-42.56%,0,0,70.20
470,71.40,0.00,+8.50,15,15,1.0000,0.00%,-42.10%,0,0,67.70
472.5,68.90,0.00,+8.55,15,16,1.0000,0.00%,-39.52%,0,0,65.20
475,66.40,90.62,+8.60,15,10,0.9836,42.28%, 4.29%,0,0,62.80
477.5,63.80,0.00,+8.55,15,1,0.9865,39.03%, 2.56%,0,0,60.30
480,61.30,86.34,+8.55,15,1,0.9860,37.57%, 2.62%,0,0,57.80
482.5,58.90,0.00,+8.60,15,5,0.9945,30.93%,-2.50%,0,0,55.30
485,56.30,45.20,+8.45,15,1,1.0000,0.00%,-32.78%,0,0,52.70
487.5,53.60,0.00,+8.40,10,1,1.0000,0.00%,-31.23%,0,0,50.30
490,51.00,47.60,+8.30,22,13,1.0000,0.00%,-30.42%,2,0,47.80
492.5,48.70,0.00,+8.40,27,1,1.0000,0.00%,-28.83%,0,0,45.30
495,46.00,33.70,+8.20,29,19,1.0000,0.00%,-27.87%,0,0,42.70
497.5,43.50,0.00,+8.20,29,19,1.0000,0.00%,-26.83%,0,0,40.30
500,40.70,39.50,+8.30,19,29,1.0000,0.00%,-25.69%,10,2,38.40
502.5,38.50,0.00,+8.00,19,19,1.0000,0.00%,-25.39%,0,0,35.30
505,36.00,33.30,+7.85,19,28,0.9835,21.61%,-4.99%,6,4,33.30
507.5,33.50,0.00,+7.40,1,19,1.0000,0.00%,-25.92%,0,0,30.30
510,30.70,31.00,+7.30,120,144,0.9739,20.05%,-5.25%,24,25,28.40
512.5,28.60,19.10,+7.25,23,28,0.9543,21.25%,-3.69%,1,0,26.10
515,25.30,25.60,+6.80,29,28,0.9879,13.98%,-9.17%,26,9,23.70
517.5,23.40,15.40,+6.95,29,26,0.9460,17.96%,-3.74%,32,0,21.30
520,20.40,19.50,+6.40,171,68,0.9541,14.96%,-6.06%,142,13,19.10
522.5,18.60,17.60,+6.20,130,146,0.8957,17.69%,-3.05%,61,5,16.80
525,16.60,15.80,+5.85,185,201,0.8549,17.96%,-2.25%,182,63,14.50
527.5,13.60,13.20,+4.80,186,74,0.8293,16.21%,-4.02%,98,8,12.40
530,11.50,11.60,+4.45,235,79,0.7782,16.17%,-3.45%,234,111,10.70
532.5,9.60,9.55,+3.85,97,87,0.7102,16.61%,-3.17%,111,281,9.10
535,7.70,7.60,+3.15,66,9,0.6442,16.19%,-3.41%,"1,549",171,7.40
537.5,6.10,6.00,+2.50,142,6,0.5700,15.86%,-3.55%,237,169,5.80
540,4.80,4.50,+1.95,35,65,0.4910,15.88%,-3.53%,451,511,4.50
542.5,3.60,3.50,+1.40,31,10,0.4118,15.72%,-3.77%,167,141,3.40
545,2.65,2.57,+0.975,21,4,0.3358,15.64%,-3.87%,"2,667",228,2.50
547.5,1.95,1.70,+0.675,3,45,0.2674,15.70%,-3.82%,91,475,1.80
550,1.40,1.29,+0.425,35,32,0.2070,15.72%,-3.89%,232,132,1.25
